DeltaR1Voxel,TissueCategory
5.07E-03,TUMOUR
5.02E-03,TUMOUR
4.97E-03,TUMOUR
5.13E-03,TUMOUR
5.09E-03,TUMOUR
5.04E-03,TUMOUR
5.00E-03,TUMOUR
4.95E-03,TUMOUR
4.91E-03,TUMOUR
4.86E-03,TUMOUR
4.81E-03,TUMOUR
4.76E-03,TUMOUR
4.71E-03,TUMOUR
4.89E-03,TUMOUR
4.85E-03,TUMOUR
4.81E-03,TUMOUR
4.77E-03,TUMOUR
4.72E-03,TUMOUR
4.67E-03,TUMOUR
4.63E-03,TUMOUR
4.58E-03,TUMOUR
4.53E-03,TUMOUR
4.48E-03,TUMOUR
4.69E-03,TUMOUR
4.64E-03,TUMOUR
4.60E-03,TUMOUR
4.56E-03,TUMOUR
4.51E-03,TUMOUR
4.47E-03,TUMOUR
4.42E-03,TUMOUR
4.37E-03,TUMOUR
4.33E-03,TUMOUR
4.28E-03,TUMOUR
4.50E-03,TUMOUR
4.46E-03,TUMOUR
4.41E-03,TUMOUR
4.37E-03,TUMOUR
4.33E-03,TUMOUR
4.28E-03,TUMOUR
4.24E-03,TUMOUR
4.19E-03,TUMOUR
4.14E-03,TUMOUR
4.09E-03,TUMOUR
4.33E-03,TUMOUR
4.29E-03,TUMOUR
4.25E-03,TUMOUR
4.20E-03,TUMOUR
4.16E-03,TUMOUR
4.11E-03,TUMOUR
4.07E-03,TUMOUR
4.02E-03,TUMOUR
3.98E-03,TUMOUR
3.93E-03,TUMOUR
4.17E-03,TUMOUR
4.13E-03,TUMOUR
4.09E-03,TUMOUR
4.05E-03,TUMOUR
4.01E-03,TUMOUR
3.96E-03,TUMOUR
3.92E-03,TUMOUR
3.87E-03,TUMOUR
3.83E-03,TUMOUR
3.78E-03,TUMOUR
4.03E-03,TUMOUR
3.99E-03,TUMOUR
3.95E-03,TUMOUR
3.91E-03,TUMOUR
3.87E-03,TUMOUR
3.83E-03,TUMOUR
3.78E-03,TUMOUR
3.73E-03,TUMOUR
3.69E-03,TUMOUR
3.64E-03,TUMOUR
6.04E-03,TUMOUR
5.99E-03,TUMOUR
5.94E-03,TUMOUR
5.90E-03,TUMOUR
5.85E-03,TUMOUR
5.80E-03,TUMOUR
5.74E-03,TUMOUR
5.69E-03,TUMOUR
5.64E-03,TUMOUR
5.58E-03,TUMOUR
5.70E-03,TUMOUR
5.65E-03,TUMOUR
5.60E-03,TUMOUR
5.56E-03,TUMOUR
5.51E-03,TUMOUR
5.46E-03,TUMOUR
5.41E-03,TUMOUR
5.35E-03,TUMOUR
5.30E-03,TUMOUR
5.25E-03,TUMOUR
5.40E-03,TUMOUR
5.35E-03,TUMOUR
5.31E-03,TUMOUR
5.26E-03,TUMOUR
5.21E-03,TUMOUR
5.16E-03,TUMOUR
5.11E-03,TUMOUR
5.06E-03,TUMOUR
5.01E-03,TUMOUR
4.95E-03,TUMOUR
5.14E-03,TUMOUR
5.09E-03,TUMOUR
5.05E-03,TUMOUR
