% Model:              CMSL_AJB_O2_20210227_AdptLKR.mph
% Version:            COMSOL 5.5.0.359
% Date:               Feb 28 2021, 00:42
% Dimension:          1
% Nodes:              1208
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         95
0.07644537880878488       95.00000038882541
0.8127602615697924        95.00000407411937
1.5333611862234306        95.00000238162974
1.691313091440577         95.00000179099692
1.8429681349171005        94.99999849255634
2.5419370262270036        94.99998222233577
3.2174618005118987        94.99997732530377
3.274558342129012         94.99997224610192
3.404895743775228         94.99996820854662
3.955876995275162         94.99992194041893
4.140306653069729         94.99991750199948
4.689754130582742         94.99981431888214
4.9906938820326445        94.99965245571755
5.457047219396202         94.99950945418065
5.655585384957362         94.99932906242425
6.129825952080182         94.99882003846655
6.526795916652645         94.99850044175362
7.013540003992716         94.99799236070339
7.396171616410868         94.99715636015266
7.98464101751739          94.99616412054466
8.354363779026244         94.99559232670994
9.000420925930882         94.99390682809052
9.443002490288109         94.99270240038956
9.998298162578806         94.99100076018485
10.467453214465024        94.98931793235792
10.997184887368007        94.98771872644103
11.423543391872272        94.98589847237655
11.99901420936078         94.98275199874429
12.474907543775771        94.98020016871008
12.9889728045693          94.97710503457554
13.468372678326318        94.97410237612247
14.0151494739913          94.97109732825865
14.464274135202345        94.9678317522044
15.011120710228454        94.96381211945327
15.462006218028478        94.96013731504401
15.996249183457735        94.954681739704
16.45760037942813         94.94994841481787
16.991022358406894        94.94535841440103
17.387868124577608        94.93993161394354
17.97390812048758         94.93239925745948
18.459738787339063        94.92813269281889
19.015126087754936        94.92249841325055
19.456953417825503        94.91672411381714
19.99122301803868         94.9085776399751
20.457522880578153        94.90178683330257
20.991816970559114        94.89425720043334
21.456958540726703        94.88718690318007
21.992082734458506        94.87896806155653
22.465177304545932        94.87136021198484
22.99468565551541         94.86237891005297
23.45601706578134         94.85345725314873
23.991781244174263        94.84369203601774
24.45108715582711         94.83480201505795
24.987735683116284        94.82382259831964
25.45481915394157         94.81467784162818
25.989499946149294        94.80379978148673
26.454353436130077        94.79430451871325
26.987305351910095        94.78315106936388
27.455936879918227        94.77246286584786
27.98371566160165         94.76087049833471
28.460673446828764        94.75114734456044
28.986459129118657        94.7397228442635
29.434175488268124        94.72829088939783
29.98234061628682         94.7135563463295
30.45698550812233         94.70169754384439
30.98872887234228         94.6881924908957
31.466293792747194        94.67568356979075
31.985726064324012        94.66212965137237
32.460581488074354        94.64901335429086
32.98845594957436         94.63498103659478
33.499963982363624        94.62490944891846
33.98755619883059         94.61225143959818
34.4508611474314          94.59762025148933
34.97375599796976         94.58331001067636
35.433523469263946        94.56740106131612
36.030909973715666        94.55102599328833
36.49141286615696         94.54023333385781
37.01697752822918         94.52202563766475
37.48871948917213         94.50517951955952
37.99714710422535         94.48964297423922
38.46562238389396         94.4752340633446
38.995657682003184        94.45932942408764
39.4594829601063          94.4463748154314
39.97535304896587         94.43059863771022
40.447898666307765        94.4154342623515
40.94794976231981         94.39551167168361
41.45269734102067         94.3768436840989
41.98986735275395         94.36302948479228
42.450082874653674        94.34814470774708
42.9890934352357          94.32838681221757
43.45798373806025         94.31337891883383
44.014493317146815        94.29806741457129
44.41013465787515         94.27777532264179
45.039189791509386        94.2552717526471
45.419577315822835        94.24725277006114
45.9517836630215          94.22715126503462
46.430818837314405        94.21154378816749
46.98057737818172         94.1930176163248
47.43891133224773         94.1767548214806
47.98868472333177         94.15360271603917
48.483664945387005        94.13862224540358
48.96861828489892         94.12464265212193
49.44980538344299         94.10495271043422
49.99164740172577         94.08631011647913
50.44263051062799         94.0702329179584
50.993197390963616        94.04857742365418
51.45691129547126         94.03162013198684
51.991035510655394        94.0116592947017
52.45760323359596         93.99447879143128
52.99103794092318         93.97494334363347
53.46998176026338         93.95893509315272
53.98965312332709         93.94023284526862
54.46449569876623         93.92181759375232
54.98873717373891         93.90229235925554
55.46071529750509         93.88433805891661
55.97994557701398         93.8646350832242
56.5014107003019          93.84950647300997
56.98917752660276         93.83156604829898
57.45927018372345         93.8110742800822
57.96441676910541         93.7916505659031
58.45811119115052         93.77121773235034
58.97699945457083         93.75115735693555
59.461074000348844        93.73156274597459
59.98269371781589         93.71141494345788
60.52304041236175         93.69741727807522
60.99924531228811         93.67963703684057
61.459346302326026        93.65703153564084
61.96819794805447         93.63718923122232
62.47341238404846         93.61762781416144
62.98622994912057         93.59769713618336
63.457682705356206        93.57690831607512
63.99105189502359         93.55526529516153
64.45768715615668         93.5369991699353
65.00329127792327         93.51553149886134
65.45890950807319         93.49753763106769
66.04322665172725         93.47936564031218
66.46288717513107         93.463317683947
66.99105464832667         93.43668363427027
67.45631318986682         93.41899862401084
67.98378545437663         93.39787541548381
68.44829493470456         93.37559824969614
68.99859810087469         93.35891808018862
69.42946540451305         93.3458176758933
69.99352637339246         93.3219240533994
70.42626308437178         93.3032372359625
70.99151590523553         93.27769568640379
71.45771301639945         93.25869180427593
71.97241865834104         93.23549554822621
72.42126092465628         93.211467761504
73.02958623085601         93.1928282102801
73.44704349161344         93.18023008080394
73.9993910656134          93.15729594665837
74.42935210695066         93.1400455776389
74.9882889069367          93.11603602846198
75.43677127134242         93.09794397371627
75.98666799450729         93.0755800024326
76.42782936332429         93.05761250137361
77.02135639867714         93.03457039241849
77.46056789808563         93.01603178933784
78.02338308213194         92.99301545971232
78.46075874005152         92.97514728082308
78.99498492127509         92.9568663903695
79.39112415035277         92.94142482362352
79.99273073616695         92.91040038519368
80.45086680501265         92.89110276840844
81.02224203457922         92.87089626906254
81.46065278567045         92.85282826272362
